method,dataset,avg_mask_size,mask_improvement_percent,avg_leakage,avg_deletion_ratio,avg_efficiency,avg_time_ms,avg_memory_bytes
min,airport,4.0,0.0,0.0,0.6666666666666669,0.19999999999999996,10.867543220519966,1097.0
min,hospital,9.0,0.0,0.0,0.9000000000000005,0.09999999999999998,20.969917774200397,2884.0
min,adult,9.0,0.0,0.0,0.75,0.09999999999999998,36.01096391677852,5611.19
min,flight,11.0,0.0,0.0,0.8461538461538458,0.08333333333333336,61.02660417556759,6924.0
min,tax,3.0,0.0,0.0,1.0,0.25,7.541131973266552,560.0
exp,airport,3.74,6.499999999999995,0.023928125772477694,0.6233333333333334,0.21540557691002032,2.064750194549513,3057.0
exp,hospital,8.23,8.55555555555555,0.02182452083107931,0.8230000000000001,0.1067747408679982,2.668538093566847,54661.0
exp,adult,5.82,35.333333333333336,0.06710619385435422,0.4850000000000001,0.1429127266522911,2.234535217285105,231901.0
exp,flight,8.81,19.909090909090903,0.0864574679235086,0.6776923076923077,0.09404210831576165,3.967077732086128,473685.0
exp,tax,3.0,0.0,0.0,1.0,0.25,2.4778652191161634,619.0
gumbel,airport,4.01,-0.24999999999999467,0.016859845536868055,0.6683333333333333,0.20407115272316592,3.689894676208451,458.0
gumbel,hospital,9.43,-4.777777777777775,0.0,0.9430000000000001,0.09609090909090909,17.072329521179153,1823.0
gumbel,adult,5.05,43.888888888888886,0.05430464256761194,0.42083333333333345,0.1618832591032106,65.35598278045651,2858.0
gumbel,flight,13.0,-18.181818181818183,0.0,1.0,0.0714285714285714,446.23146772384644,5949.0
gumbel,tax,3.0,0.0,0.0,1.0,0.25,3.308789730071974,201.0
